Empire,City,Pop,Tax,Prosperity_Regional,Prosperity_National,Road_Level,Terrain,Literacy,War_Population,Trade,Capital,Special_Mod,Healthcare_Spending,Pop_Tax,Pop_Growth_Mod,Colonial_Boost,Resource_Income,Resource_Boost,Tax_Base_Industry,Special_Economic_Notes,Net_Prosperity,Net_Income,Resources_Notes
Aglarond,Aglarond,2867465.00,0.10,0.15,0.15,0.10,0.15,0.01,,0.10,0.10,,0.00,0.10,-0.20,,3000000.00,0.30,350.00,"Nat capital, high medieval industry, trade 3, all dwarf pop",0.71,Income,"Large iron, gold"
Aglarond,Zirak,1245730.00,0.10,0.15,0.15,0.10,0.15,0.01,,0.00,,,0.00,0.10,-0.20,,400000.00,0.04,300.00,"medium medieval industry, trade 1, all dwarf pop",0.51,56468940.90,"large copper, low silver"
Aglarond,Nauglamir,2198262.00,0.10,0.15,0.15,0.10,0.15,0.01,,0.00,,,0.00,0.10,-0.20,,1800000.00,0.18,300.00,"medium medieval industry, trade 1, all dwarf pop",0.51,99647216.46,large gems
Aglarond,Khazadrum,156785.00,0.10,0.15,0.15,0.10,0.15,0.01,,0.00,,,0.00,0.10,-0.20,,1500000.00,0.15,200.00,"low medieval industry, trade 1, all dwarf pop",0.51,4738042.70,"huge iron, coal"
Aglarond,Telchar,1365353.00,0.10,0.15,0.15,0.10,0.15,0.01,,0.00,,,0.00,0.10,-0.20,,2750000.00,0.28,300.00,"medium medieval industry, trade 1, all dwarf pop",0.51,61891451.49,"large iron, moderate damestear, low gems, copper"
Amon Rudh,Amon Rudh,3603753.00,0.10,0.10,0.10,0.10,0.15,0.01,,0.10,0.10,,0.00,0.10,-0.20,,3600000.00,0.36,350.00,"Nat capital, High medieval industry, trade 3, all dwarven pop",0.61,203197612.91,"large silver, copper, gems, low black sapphire, sakuradite"
Amon Rudh,Seregon,1141636.00,0.10,0.10,0.10,0.10,0.15,0.01,,0.05,,,0.00,0.10,-0.20,,850000.00,0.09,300.00,"medium medieval industry, trade 2, all dwarven pop",0.46,50037905.88,huge silver
Amon Rudh,Danwedh,2281006.00,0.10,0.10,0.10,0.10,0.15,0.01,,0.05,,,0.00,0.10,-0.20,,650000.00,0.07,300.00,"medium medieval industry, trade 2, all dwarven pop",0.46,99976492.98,"large iron, moderate copper"
Amon Rudh,Dug Darom,100766.00,0.10,0.10,0.10,0.10,0.15,0.01,,0.00,,,0.00,0.10,-0.20,,1550000.00,0.16,200.00,"low medieval industry, trade 1, all dwarven pop",0.41,2843616.52,"moderate gold, low copper"
Amon Rudh,Beleg,669681.00,0.10,0.10,0.10,0.10,0.15,0.01,,0.00,,,0.00,0.10,-0.20,,3000000.00,0.30,200.00,"low medieval industry, trade 1, all dwarven pop",0.41,18898397.82,"moderate gold, platinum"
