"Empire","City","Pop","Tax","Prosperity_Regional","Prosperity_National","Road_Level","Terrain","Literacy","War_Population","Trade","Capital","Special_Mod","Healthcare_Spending","Pop_Tax","Pop_Growth_Mod","Colonial_Boost","Resource_Income","Resource_Boost","Tax_Base_Industry","Special_Economic_Notes","Net_Prosperity","Net_Income","Resources_Notes"
"Aglarond","Aglarond",86023991579,"0.10","0.15","0.15","0.10","0.15","0.01","","0.10","0.10","","0.00","0.10","-0.20","","3000000.00","0.30","350.00","Nat capital, high medieval industry, trade 3, all dwarf pop",0.71,5148535896003.149,"Large iron, gold"
"Aglarond","Zirak",4982938064,"0.10","0.15","0.15","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","400000.00","0.04","300.00","medium medieval industry, trade 1, all dwarf pop",0.51,225727094299.2,"large copper, low silver"
"Aglarond","Nauglamir",39568747876,"0.10","0.15","0.15","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","1800000.00","0.18","300.00","medium medieval industry, trade 1, all dwarf pop",0.51,1792464278782.8,"large gems"
"Aglarond","Khazadrum",2351777274,"0.10","0.15","0.15","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","1500000.00","0.15","200.00","low medieval industry, trade 1, all dwarf pop",0.51,71023673674.8,"huge iron, coal"
"Aglarond","Telchar",37547227299,"0.10","0.15","0.15","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","2750000.00","0.28","300.00","medium medieval industry, trade 1, all dwarf pop",0.51,1700889396644.7,"large iron, moderate damestear, low gems, copper"
"Amon Rudh","Amon Rudh",129735160255,"0.10","0.10","0.10","0.10","0.15","0.01","","0.10","0.10","","0.00","0.10","-0.20","","3600000.00","0.36","350.00","Nat capital, High medieval industry, trade 3, all dwarven pop",0.61,7310576280369.249,"large silver, copper, gems, low black sapphire, sakuradite"
"Amon Rudh","Seregon",9703922555,"0.10","0.10","0.10","0.10","0.15","0.01","","0.05","","","0.00","0.10","-0.20","","850000.00","0.09","300.00","medium medieval industry, trade 2, all dwarven pop",0.4600000000000001,425031807909,"huge silver"
"Amon Rudh","Danwedh",14826572076,"0.10","0.10","0.10","0.10","0.15","0.01","","0.05","","","0.00","0.10","-0.20","","650000.00","0.07","300.00","medium medieval industry, trade 2, all dwarven pop",0.4600000000000001,649403856928.7999,"large iron, moderate copper"
"Amon Rudh","Dug Darom",1561874462,"0.10","0.10","0.10","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","1550000.00","0.16","200.00","low medieval industry, trade 1, all dwarven pop",0.41000000000000003,44044859828.4,"moderate gold, low copper"
"Amon Rudh","Beleg",20090439711,"0.10","0.10","0.10","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","3000000.00","0.30","200.00","low medieval industry, trade 1, all dwarven pop",0.41000000000000003,566550399850.2001,"moderate gold, platinum"
"Athens","Athens",7713,"0.05","0.05","0.05","0.05","0.00","0.01","","0.05","0.10","","0.00","","","","","0.00","200.00","nat capital, low medieval industry, trade 2",0.31000000000000005,101040.3,""
"Athens","Styra",1587,"0.05","0.05","0.05","0.05","0.05","0.01","","0.00","","","0.00","","","","","0.00","200.00","low medieval industry, trade 1",0.16000000000000003,18409.2,""
"Athens","Euboea",4925,"0.05","0.05","0.05","0.05","0.10","0.01","","0.00","","","0.00","","","","","0.00","200.00","low medieval industry, trade 1",0.16000000000000003,57130.00000000001,""
"Athens","Thebes",3966,"0.05","0.05","0.05","0.05","0.05","0.01","","0.00","","","0.00","","","","","0.00","200.00","low medieval industry, trade 1",0.16000000000000003,46005.600000000006,""
"Avernien Kingdom","Avernien",37984,"0.05","0.10","0.10","0.10","0.15","0.01","","0.10","0.10","","0.00","","","","","0.00","300.00","Nat Capital, medium medieval industry, trade 3",0.51,860337.6,""
"Avernien Kingdom","Doriath",3009,"0.05","0.10","0.10","0.10","-0.10","0.01","","0.00","","","0.00","","","","","0.00","200.00","low medieval industry, trade 1",0.31000000000000005,39417.9,""
"Avernien Kingdom","Vinyamaril",1573,"0.05","0.10","0.10","0.05","-0.10","0.01","","0.00","","","0.00","","","","","0.00","200.00","low medieval industry, trade 1",0.26,19819.8,""
"Avernien Kingdom","Himlad",2436,"0.05","0.10","0.10","0.10","-0.10","0.01","","0.00","","","0.00","","","","","0.00","200.00","low medieval industry, trade 1",0.31000000000000005,31911.600000000002,""
"Avernien Kingdom","Thargelion",4585,"0.05","0.10","0.10","0.10","-0.10","0.01","","0.00","","","0.00","","","","","0.00","200.00","low medieval industry, trade 1",0.31000000000000005,60063.5,""
"Babylon","Babylon",49050022856,"0.30","0.25","0.05","0.10","0.15","0.04","","0.10","0.10","0.10","0.20","","","","400000.00","0.04","400.00","Nat Capital, very high medieval industry, trade 3",0.74,10241644772332.8,"moderate iron, copper"
"Babylon","Uruk",149487,"0.30","0.25","0.05","0.10","0.15","0.04","","0.10","","","0.20","","","","","0.00","350.00","high medieval industry, trade 3",0.54,24172047.900000002,""
"Babylon","Ur",13120998854,"0.30","0.25","0.05","0.10","0.15","0.04","","0.05","","","0.20","","","","350000.00","0.04","300.00","medium medieval industry, trade 2",0.49,1759525946321.4,"low copper, tungsten"
"Babylon","Nippur",84236045938,"0.30","0.25","0.05","0.10","0.00","0.04","","0.05","","","0.20","","","","2350000.00","0.24","350.00","high medieval industry, trade 2",0.49,13178729387000.1,"large iron, copper, moderate gold"
"Babylon","New Gilgamesh",1028357969,"0.30","0.25","0.05","0.10","-0.05","0.04","","0.05","0.05","","0.20","","","","100000.00","0.01","300.00","reg capital, medium medieval industry, trade 2",0.54,142530414503.4,"low iron"
"Babylon","Kyoroch",9003,"0.30","0.25","0.05","0.10","0.05","0.04","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",0.44,777859.2,""
"Babylon","Kanesh",1799,"0.30","0.25","0.05","0.10","0.05","0.04","","0.05","","","0.20","","","","","0.00","200.00","low medieval industry, trade 2",0.49,160830.6,""
"Babylon","Harran",1798,"0.30","0.25","0.05","0.10","0.05","0.04","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",0.44,155347.19999999998,""
"Babylon","Joyou",13036,"0.30","0.25","0.05","0.10","0.05","0.04","","0.05","","","0.20","","","","","0.00","300.00","medium medieval industry, trade 2",0.49,1748127.6,""
"Babylon","Assur",11616,"0.30","0.25","0.05","0.10","0.05","0.04","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",0.44,1003622.3999999999,""
"Babylon","Baghdad",2002,"0.30","0.25","0.05","0.10","0.05","0.04","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",0.44,172972.8,""
"Babylon","Hatra",1895,"0.30","0.25","0.05","0.10","0.05","0.04","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",0.44,163728,""
"Babylon","Gyou",189964,"0.30","-0.25","0.05","0.10","0.15","0.03","","0.10","0.05","","0.20","","","","","0.00","350.00","reg capital, high medieval industry, trade 3",0.08,21541917.6,""
"Babylon","Xi'an",14258,"0.30","-0.25","0.05","0.10","0.10","0.03","","0.05","","","0.20","","","","","0.00","200.00","low medieval industry, trade 2",-0.020000000000000004,838370.4,""
"Babylon","Hangzhou",12645,"0.30","-0.25","0.05","0.10","0.10","0.03","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",-0.07,705591,""
"Babylon","Suzhou",7902,"0.30","-0.25","0.05","0.10","0.05","0.03","","0.05","","","0.20","","","","","0.00","200.00","low medieval industry, trade 2",-0.020000000000000004,464637.6,""
"Babylon","Shenzhen",13254,"0.30","-0.25","0.05","0.10","0.10","0.03","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",-0.07,739573.2,""
"Babylon","Wuhan",6850,"0.30","-0.25","0.05","0.10","0.10","0.03","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",-0.07,382230,""
"Babylon","Jouto",5530965715,"0.30","-0.25","0.05","0.10","0.15","0.03","","0.00","","","0.20","","","","150000.00","0.02","300.00","medium medieval industry, trade 1",-0.07,462941830345.49994,"moderate copper"
"Babylon","Kantan",105279,"0.30","-0.25","0.05","0.10","0.15","0.03","","0.10","","","0.20","","","","","0.00","350.00","high medieval industry, trade 3",0.03,11385923.85,""
"Babylon","Alalakh",11746078705,"0.30","0.25","0.05","0.10","0.05","0.04","","0.05","","","0.20","","","","1500000.00","0.15","200.00","low medieval industry, trade 2",0.49,1050099436227,"large oil"
"Bahamut's Realm","Bahamut City",5846,"0.10","0.05","0.05","0.10","0.05","0.01","","0.05","0.10","","0.00","0.15","-0.40","","","0.00","300.00","national capital, medium medieval, trade 2, all dragonborn",0.51,264823.8,""
"Bahamut's Realm","Rahmen",1677897831,"0.10","0.05","0.05","0.10","0.10","0.01","","","","","0.00","0.15","-0.40","","1100000.00","0.11","200.00","low medieval industry, trade 1, all dragonborn",0.36,45638821003.2,"large silver, iron"
"Bahamut's Realm","Dreki",2325,"0.10","0.05","0.05","0.10","0.05","0.01","","","","","0.00","0.15","-0.40","","","0.00","200.00","low medieval industry, trade 1, all dragonborn",0.36,63239.99999999999,""
"Bahamut's Realm","Balaur",582,"0.10","0.05","0.05","0.10","0.05","0.01","","","","","0.00","0.15","-0.40","","","0.00","200.00","low medieval industry, trade 1, all dragonborn",0.36,15830.399999999998,""
"Bahamut's Realm","Ascun",304,"0.10","0.05","0.05","0.05","0.10","0.01","","","","","0.00","0.15","-0.40","","","0.00","200.00","low medieval industry, trade 1, all dragonborn",0.31000000000000005,7964.8,""
"Belegost","Belegost",419819888234,"0.10","0.10","0.10","0.10","0.15","0.01","","0.10","0.10","","0.00","0.10","-0.20","","6600000.00","0.66","350.00","Nat capital, high medieval industry, trade 3, all dwarven pop",0.61,23656850701985.9,"huge iron, copper, large coal, moderate gold, jacinth, small mithril"
"Belegost","Dolmed",125492317318,"0.10","0.10","0.10","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","4300000.00","0.43","300.00","medium medieval industry, trade 1, all dwarven pop",0.41000000000000003,5308325022551.4,"large iron, copper, moderate black opal, small gold, platinum, gems"
"Belegost","Glaurung",81578280074,"0.10","0.10","0.10","0.10","0.15","0.01","","0.05","","","0.00","0.10","-0.20","","2250000.00","0.23","300.00","medium medieval industry, trade 2, all dwarven pop",0.4600000000000001,3573128667241.1997,"large gems, moderate iron, small silver"
"Belegost","Doggari",2218283463,"0.10","0.10","0.10","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","2200000.00","0.22","200.00","low medieval industry, trade 1, all dwarven pop",0.41000000000000003,62555593656.600006,"large jacinth, low gems"
"Belegost","Dimgon",755146461,"0.10","0.10","0.10","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","750000.00","0.08","200.00","low medieval industry, trade 1, all dwarven pop",0.41000000000000003,21295130200.2,"huge iron"
"Belegost","Menegroth",51277764538,"0.10","0.10","0.10","0.10","0.15","0.01","","0.00","","","0.00","0.10","-0.20","","2750000.00","0.28","300.00","medium medieval industry, trade 1, all dwarven pop",0.41000000000000003,2169049439957.4001,"large gold, moderate iron"
"Bhaerynden Kingdom","Kigh Todir",610222146200,"0.10","0.10","0.10","0.10","0.15","0.01","","0.10","0.10","","0.00","0.10","-0.20","","18550000.00","1.86","350.00","nat capital, high medieval, trade 3, all duergar",0.61,34386017938369.996,"large adamantium, mithril, gems"
"Bhaerynden Kingdom","Hirndorahl",93898303473,"0.10","0.10","0.10","0.10","0.15","0.01","","","","","0.00","0.10","-0.20","","8800000.00","0.88","300.00","low medieval industry, trade 1, all duergar pop",0.41000000000000003,3971898236907.9004,"large gold, anti-magicite"
"Bhaerynden Kingdom","Zhouver",5180047512,"0.10","0.10","0.10","0.10","0.15","0.01","","","","","0.00","0.10","-0.20","","1000000.00","0.10","200.00","low medieval industry, trade 1, all duergar pop",0.41000000000000003,146077339838.40002,"large iron, moderate aluminum, silver"
"Bhaerynden Kingdom","Floln",68092715962,"0.10","0.10","0.10","0.10","0.15","0.01","","0.05","","","0.00","0.10","-0.20","","4300000.00","0.43","300.00","medium medieval industry, trade 2, duergar",0.4600000000000001,2982460959135.6,"large gold, gems"
"Bhaerynden Kingdom","Vornfarum",11430082068,"0.10","0.10","0.10","0.10","0.15","0.01","","0.05","","","0.00","0.10","-0.20","","1100000.00","0.11","300.00","medium medieval industry, trade 2, duergar",0.4600000000000001,500637594578.39996,"large iron, silver"
"Bhaerynden Kingdom","Mor Moldir",18356317606,"0.10","0.10","0.10","0.10","0.15","0.01","","","","","0.00","0.10","-0.20","","3500000.00","0.35","200.00","low medieval industry, trade 1, all duergar pop",0.41000000000000003,517648156489.2001,"small platinum, mithril"
"Bhaerynden Kingdom","Mugruhm",6247004530,"0.10","0.10","0.10","0.10","0.15","0.01","","","","","0.00","0.10","-0.20","","2000000.00","0.20","200.00","low medieval industry, trade 1, all duergar pop",0.41000000000000003,176165527746.00003,"large coal, oil"
